q,qb
0,1.2
1.00E-03,1.2
2.00E-03,1.2
3.00E-03,1.2
4.00E-03,1.2
5.00E-03,1.2
6.00E-03,1.2
7.00E-03,1.2
8.00E-03,1.2
9.00E-03,1.2
0.01,1.2
0.011,1.2
0.012,1.2
0.013,1.2
0.014,1.2
0.015,1.2
0.016,1.2
0.017,1.2
0.018,1.2
0.019,1.2
0.02,1.2
0.021,1.2
0.022,1.2
0.023,1.2
0.024,1.2
0.025,1.2
0.026,1.2
0.027,1.2
0.028,1.2
0.029,1.2
0.03,1.2
0.031,1.2
0.032,1.2
0.033,1.2
0.034,1.2
0.035,1.2
0.036,1.2
0.037,1.2
0.038,1.2
0.039,1.2
0.04,1.2
0.041,1.2
0.042,1.2
0.043,1.2
0.044,1.2
0.045,1.2
0.046,1.2
0.047,1.2
0.048,1.2
0.049,1.2
0.05,1.2
0.051,1.2
0.052,1.2
0.053,1.2
0.054,1.2
0.055,1.2
0.056,1.2
0.057,1.2
0.058,1.2
0.059,1.2
0.06,1.2
0.061,1.2
0.062,1.2
0.063,1.2
0.064,1.2
0.065,1.2
0.066,1.2
0.067,1.2
0.068,1.2
0.069,1.2
0.07,1.2
0.071,1.2
0.072,1.2
0.073,1.2
0.074,1.2
0.075,1.2
0.076,1.2
0.077,1.2
0.078,1.2
0.079,1.2
0.08,1.2
0.081,1.2
0.082,1.2
0.083,1.2
0.084,1.2
0.085,1.2
0.086,1.2
0.087,1.2
0.088,1.2
0.089,1.2
0.09,1.2
0.091,1.2
0.092,1.2
0.093,1.2
0.094,1.2
0.095,1.2
0.096,1.2
0.097,1.2
0.098,1.2
0.099,1.2
0.1,1.2
0.101,1.2
0.102,1.2
0.103,1.2
0.104,1.2
0.105,1.2
0.106,1.2
0.107,1.2
0.108,1.2
0.109,1.2
0.11,1.2
0.111,1.2
0.112,1.2
0.113,1.2
0.114,1.2
0.115,1.2
0.116,1.2
0.117,1.2
0.118,1.2
0.119,1.2
0.12,1.2
0.121,1.2
0.122,1.2
0.123,1.2
0.124,1.2
0.125,1.2
0.126,1.2
0.127,1.2
0.128,1.2
0.129,1.2
0.13,1.2
0.131,1.2
0.132,1.2
0.133,1.2
0.134,1.2
0.135,1.2
0.136,1.2
0.137,1.2
0.138,1.2
0.139,1.2
0.14,1.2
0.141,1.2
0.142,1.2
0.143,1.2
0.144,1.2
0.145,1.2
0.146,1.2
0.147,1.2
0.148,1.2
0.149,1.2
0.15,1.2
0.151,1.2
0.152,1.2
0.153,1.2
0.154,1.2
0.155,1.2
0.156,1.2
0.157,1.2
0.158,1.2
0.159,1.2
0.16,1.2
0.161,1.2
0.162,1.2
0.163,1.2
0.164,1.2
0.165,1.2
0.166,1.2
0.167,1.2
0.168,1.2
0.169,1.2
0.17,1.2
0.171,1.2
0.172,1.2
0.173,1.2
0.174,1.2
0.175,1.2
0.176,1.2
0.177,1.2
0.178,1.2
0.179,1.2
0.18,1.2
0.181,1.2
0.182,1.2
0.183,1.2
0.184,1.2
0.185,1.2
0.186,1.2
0.187,1.2
0.188,1.2
0.189,1.2
0.19,1.2
0.191,1.2
0.192,1.2
0.193,1.2
0.194,1.2
0.195,1.2
0.196,1.2
0.197,1.2
0.198,1.2
0.199,1.2
0.2,1.2
0.201,1.2
